name,type,technical_lifetime_value,technical_lifetime_units,fromNode,toNode,biDirectional,lanesPerDirection,roadClass,length,edgeID1,edgeID2
roadDevelopment,RoadDevelopment,100,y,63,23,TRUE,2,A,10.23,990001,990002
roadDevelopmentB1.1,RoadDevelopment,100,y,13241,7967,TRUE,2,A,3.722,90000,90001
roadDevelopmentB1.2,RoadDevelopment,100,y,7967,6427,TRUE,2,A,4.609,90002,90003
roadDevelopmentB1.3,RoadDevelopment,100,y,6427,5066,TRUE,2,A,15.028,90004,90005
roadDevelopmentB1.4,RoadDevelopment,100,y,5066,4525,TRUE,2,A,16.756,90006,90007
roadDevelopmentB1.5,RoadDevelopment,100,y,4525,1812,TRUE,2,A,9.888,90008,90009
roadDevelopmentB3.1,RoadDevelopment,100,y,13241,7967,TRUE,2,A,3.722,90000,90001
roadDevelopmentB3.2,RoadDevelopment,100,y,7967,6427,TRUE,2,A,4.609,90002,90003
roadDevelopmentB3.3,RoadDevelopment,100,y,6427,5066,TRUE,2,A,15.028,90004,90005
roadDevelopmentB3.4,RoadDevelopment,100,y,5066,4525,TRUE,2,A,16.756,90006,90007
roadDevelopmentB3.5,RoadDevelopment,100,y,4525,3422,TRUE,2,A,11.438,90008,90009
roadDevelopmentB3.6,RoadDevelopment,100,y,9681,5099,TRUE,2,A,10.788,90010,90011
roadDevelopmentB3.7,RoadDevelopment,100,y,5099,5074,TRUE,2,A,2.621,90012,90013
roadDevelopmentB3.8,RoadDevelopment,100,y,5074,2934,TRUE,2,A,8.533,90014,90015
