timestep,seasons,energy_supply_price,es_fuel_types
2015,1,23.1,oil
2015,2,23.1,oil
2015,3,23.1,oil
2015,4,23.1,oil
2020,1,29.6,oil
2020,2,29.6,oil
2020,3,29.6,oil
2020,4,29.6,oil
2030,1,35,oil
2030,2,35,oil
2030,3,35,oil
2030,4,35,oil
2050,1,49.4,oil
2050,2,49.4,oil
2050,3,49.4,oil
2050,4,49.4,oil
2015,1,5.4,nuclear
2015,2,5.4,nuclear
2015,3,5.4,nuclear
2015,4,5.4,nuclear
2020,1,5.4,nuclear
2020,2,5.4,nuclear
2020,3,5.4,nuclear
2020,4,5.4,nuclear
2030,1,5.4,nuclear
2030,2,5.4,nuclear
2030,3,5.4,nuclear
2030,4,5.4,nuclear
2050,1,5.4,nuclear
2050,2,5.4,nuclear
2050,3,5.4,nuclear
2050,4,5.4,nuclear
2015,1,10.9,gas
2015,2,10.9,gas
2015,3,10.9,gas
2015,4,10.9,gas
2020,1,11.6,gas
2020,2,11.6,gas
2020,3,11.6,gas
2020,4,11.6,gas
2030,1,15.2,gas
2030,2,15.2,gas
2030,3,15.2,gas
2030,4,15.2,gas
2050,1,16.9,gas
2050,2,16.9,gas
2050,3,16.9,gas
2050,4,16.9,gas
2015,1,44,coal
2015,2,44,coal
2015,3,44,coal
2015,4,44,coal
2020,1,44,coal
2020,2,44,coal
2020,3,44,coal
2020,4,44,coal
2030,1,44,coal
2030,2,44,coal
2030,3,44,coal
2030,4,44,coal
2050,1,44,coal
2050,2,44,coal
2050,3,44,coal
2050,4,44,coal
2015,1,31.9,electricity
2015,2,26.1,electricity
2015,3,26.1,electricity
2015,4,29,electricity
2020,1,31.9,electricity
2020,2,26.1,electricity
2020,3,26.1,electricity
2020,4,29,electricity
2030,1,31.9,electricity
2030,2,26.1,electricity
2030,3,26.1,electricity
2030,4,29,electricity
2050,1,31.9,electricity
2050,2,26.1,electricity
2050,3,26.1,electricity
2050,4,29,electricity
2015,1,34,biomass
2015,2,34,biomass
2015,3,34,biomass
2015,4,34,biomass
2020,1,34,biomass
2020,2,34,biomass
2020,3,34,biomass
2020,4,34,biomass
2030,1,34,biomass
2030,2,34,biomass
2030,3,34,biomass
2030,4,34,biomass
2050,1,34,biomass
2050,2,34,biomass
2050,3,34,biomass
2050,4,34,biomass
2015,1,22.7,carbon
2015,2,22.7,carbon
2015,3,22.7,carbon
2015,4,22.7,carbon
2020,1,31.7,carbon
2020,2,31.7,carbon
2020,3,31.7,carbon
2020,4,31.7,carbon
2030,1,42.7,carbon
2030,2,42.7,carbon
2030,3,42.7,carbon
2030,4,42.7,carbon
2050,1,99.3,carbon
2050,2,99.3,carbon
2050,3,99.3,carbon
2050,4,99.3,carbon
