Node,EH_Conn_Num,Load Share
1,1,0.6
1,2,0.6
2,1,0.4
2,2,0.4
4,3,0.7
5,3,0.3
5,4,0.8
6,4,0.2
6,5,1
8,6,0.8
9,7,0.2
10,7,0.8
10,8,0.2
11,8,0.8
12,10,0.2
13,10,0.2
14,6,0.2
14,9,0.2
15,9,0.8
16,10,0.2
17,10,0.2
18,10,0.1
19,10,0.1
23,11,0.7
26,13,0.3
27,13,0.3
29,12,0.2
30,12,0.8
31,15,0.3
32,15,0.2
33,11,0.3
34,15,0.3
35,14,0.5
36,15,0.2
38,16,0.5
39,16,0.5
41,19,0.3
42,17,0.3
43,17,0.4
44,17,0.3
45,22,0.3
46,13,0.4
47,14,0.5
48,18,0.1
49,22,0.3
50,18,0.1
52,18,0.2
53,18,0.2
54,18,0.2
56,23,0.3
58,18,0.2
59,23,0.4
60,23,0.2
61,23,0.1
62,29,0.3
63,29,0.2
64,29,0.3
65,22,0.4
67,24,0.6
68,28,0.5
69,29,0.2
71,26,0.7
72,26,0.3
72,27,0.5
72,28,0.2
73,25,0.4
73,28,0.3
74,24,0.4
74,25,0.3
76,20,0.2
77,19,0.2
77,27,0.5
78,19,0.3
79,19,0.2
82,21,0.3
83,21,0.7
84,20,0.3
85,25,0.3
86,20,0.5
